hand_category,hand,tries,win,draw
12,1,100,22.0,0.0
12,2,100,22.0,0.0
12,3,100,18.0,0.0
12,4,100,20.0,0.0
12,5,100,26.0,0.0
12,6,100,16.0,0.0
13,1,100,14.000000000000002,0.0
13,2,100,20.0,0.0
13,3,100,20.0,0.0
13,4,100,23.0,0.0
13,5,100,30.0,0.0
14,1,100,14.000000000000002,0.0
14,2,100,26.0,0.0
14,3,100,20.0,0.0
14,4,100,20.0,0.0
14,5,100,16.0,0.0
15,1,100,17.0,0.0
15,2,100,19.0,0.0
15,3,100,20.0,0.0
15,4,100,20.0,0.0
16,1,100,21.0,0.0
16,2,100,18.0,0.0
16,3,100,20.0,0.0
16,4,100,21.0,0.0
17,1,100,30.0,9.0
17,2,100,19.0,7.000000000000001
17,3,100,21.0,18.0
18,1,100,36.0,14.000000000000002
18,2,100,28.999999999999996,14.000000000000002
18,3,100,36.0,10.0
19,1,100,43.0,14.000000000000002
19,2,100,52.0,8.0
20,1,100,55.00000000000001,35.0
20,2,100,54.0,30.0
21,1,100,86.0,14.000000000000002
12,1,100,30.0,0.0
12,2,100,18.0,0.0
12,3,100,17.0,0.0
12,4,100,21.0,0.0
12,5,100,28.000000000000004,0.0
12,6,100,18.0,0.0
13,1,100,30.0,0.0
13,2,100,28.000000000000004,0.0
13,3,100,19.0,0.0
13,4,100,27.0,0.0
13,5,100,13.0,0.0
14,1,100,20.0,0.0
14,2,100,13.0,0.0
14,3,100,18.0,0.0
14,4,100,26.0,0.0
14,5,100,24.0,0.0
15,1,100,19.0,0.0
15,2,100,14.000000000000002,0.0
15,3,100,23.0,0.0
15,4,100,19.0,0.0
16,1,100,23.0,0.0
16,2,100,25.0,0.0
16,3,100,23.0,0.0
16,4,100,18.0,0.0
17,1,100,25.0,11.0
17,2,100,25.0,14.000000000000002
17,3,100,28.999999999999996,11.0
18,1,100,30.0,12.0
18,2,100,32.0,10.0
18,3,100,35.0,11.0
19,1,100,35.0,14.000000000000002
19,2,100,37.0,10.0
20,1,100,48.0,39.0
20,2,100,51.0,34.0
21,1,100,84.0,16.0
12,1,100,25.0,0.0
12,2,100,18.0,0.0
12,3,100,27.0,0.0
12,4,100,18.0,0.0
12,5,100,21.0,0.0
12,6,100,23.0,0.0
13,1,100,23.0,0.0
13,2,100,18.0,0.0
13,3,100,25.0,0.0
13,4,100,25.0,0.0
13,5,100,15.0,0.0
14,1,100,24.0,0.0
14,2,100,15.0,0.0
14,3,100,21.0,0.0
14,4,100,25.0,0.0
14,5,100,25.0,0.0
15,1,100,22.0,0.0
15,2,100,18.0,0.0
15,3,100,21.0,0.0
15,4,100,24.0,0.0
16,1,100,26.0,0.0
16,2,100,20.0,0.0
16,3,100,23.0,0.0
16,4,100,24.0,0.0
17,1,100,14.000000000000002,11.0
17,2,100,19.0,17.0
17,3,100,20.0,12.0
18,1,100,37.0,7.000000000000001
18,2,100,30.0,6.0
18,3,100,38.0,10.0
19,1,100,50.0,10.0
19,2,100,43.0,8.0
20,1,100,56.99999999999999,32.0
20,2,100,59.0,33.0
21,1,100,86.0,14.000000000000002
12,1,100,15.0,0.0
12,2,100,28.000000000000004,0.0
12,3,100,24.0,0.0
12,4,100,22.0,0.0
12,5,100,26.0,0.0
12,6,100,24.0,0.0
13,1,100,22.0,0.0
13,2,100,19.0,0.0
13,3,100,18.0,0.0
13,4,100,21.0,0.0
13,5,100,23.0,0.0
14,1,100,19.0,0.0
14,2,100,18.0,0.0
14,3,100,18.0,0.0
14,4,100,22.0,0.0
14,5,100,14.000000000000002,0.0
15,1,100,24.0,0.0
15,2,100,28.999999999999996,0.0
15,3,100,16.0,0.0
15,4,100,19.0,0.0
16,1,100,28.999999999999996,0.0
16,2,100,22.0,0.0
16,3,100,25.0,0.0
16,4,100,19.0,0.0
17,1,100,15.0,12.0
17,2,100,23.0,7.000000000000001
17,3,100,22.0,14.000000000000002
18,1,100,30.0,8.0
18,2,100,24.0,15.0
18,3,100,33.0,8.0
19,1,100,46.0,9.0
19,2,100,40.0,13.0
20,1,100,61.0,26.0
20,2,100,60.0,28.999999999999996
21,1,100,89.0,11.0
12,1,100,26.0,0.0
12,2,100,18.0,0.0
12,3,100,25.0,0.0
12,4,100,22.0,0.0
12,5,100,19.0,0.0
12,6,100,16.0,0.0
13,1,100,17.0,0.0
13,2,100,22.0,0.0
13,3,100,26.0,0.0
13,4,100,19.0,0.0
13,5,100,12.0,0.0
14,1,100,25.0,0.0
14,2,100,20.0,0.0
14,3,100,20.0,0.0
14,4,100,23.0,0.0
14,5,100,24.0,0.0
15,1,100,19.0,0.0
15,2,100,20.0,0.0
15,3,100,22.0,0.0
15,4,100,19.0,0.0
16,1,100,24.0,0.0
16,2,100,27.0,0.0
16,3,100,25.0,0.0
16,4,100,22.0,0.0
17,1,100,22.0,17.0
17,2,100,21.0,10.0
17,3,100,24.0,16.0
18,1,100,28.999999999999996,9.0
18,2,100,37.0,12.0
18,3,100,32.0,10.0
19,1,100,45.0,14.000000000000002
19,2,100,49.0,5.0
20,1,100,52.0,35.0
20,2,100,60.0,28.999999999999996
21,1,100,88.0,12.0
12,1,100,26.0,0.0
12,2,100,25.0,0.0
12,3,100,28.999999999999996,0.0
12,4,100,17.0,0.0
12,5,100,24.0,0.0
12,6,100,24.0,0.0
13,1,100,26.0,0.0
13,2,100,28.000000000000004,0.0
13,3,100,21.0,0.0
13,4,100,21.0,0.0
13,5,100,23.0,0.0
14,1,100,22.0,0.0
14,2,100,28.999999999999996,0.0
14,3,100,21.0,0.0
14,4,100,25.0,0.0
14,5,100,21.0,0.0
15,1,100,27.0,0.0
15,2,100,20.0,0.0
15,3,100,20.0,0.0
15,4,100,19.0,0.0
16,1,100,19.0,0.0
16,2,100,18.0,0.0
16,3,100,21.0,0.0
16,4,100,25.0,0.0
17,1,100,18.0,12.0
17,2,100,20.0,7.000000000000001
17,3,100,16.0,12.0
18,1,100,28.999999999999996,13.0
18,2,100,33.0,11.0
18,3,100,35.0,9.0
19,1,100,56.99999999999999,16.0
19,2,100,40.0,8.0
20,1,100,48.0,42.0
20,2,100,51.0,38.0
21,1,100,88.0,12.0
12,1,100,25.0,0.0
12,2,100,21.0,0.0
12,3,100,24.0,0.0
12,4,100,19.0,0.0
12,5,100,21.0,0.0
12,6,100,21.0,0.0
13,1,100,17.0,0.0
13,2,100,26.0,0.0
13,3,100,18.0,0.0
13,4,100,23.0,0.0
13,5,100,22.0,0.0
14,1,100,27.0,0.0
14,2,100,24.0,0.0
14,3,100,24.0,0.0
14,4,100,17.0,0.0
14,5,100,27.0,0.0
15,1,100,19.0,0.0
15,2,100,14.000000000000002,0.0
15,3,100,21.0,0.0
15,4,100,28.000000000000004,0.0
16,1,100,20.0,0.0
16,2,100,26.0,0.0
