hand_category,hand,tries,win,draw
12,1,100,31.0,2.0
12,2,100,26.0,4.0
12,3,100,18.0,12.0
12,4,100,26.0,10.0
12,5,100,30.0,7.000000000000001
12,6,100,27.0,6.0
13,1,100,31.0,4.0
13,2,100,23.0,6.0
13,3,100,28.000000000000004,2.0
13,4,100,22.0,9.0
13,5,100,22.0,7.000000000000001
14,1,100,28.999999999999996,6.0
14,2,100,17.0,8.0
14,3,100,18.0,7.000000000000001
14,4,100,15.0,5.0
14,5,100,27.0,9.0
15,1,100,32.0,5.0
15,2,100,23.0,8.0
15,3,100,17.0,8.0
15,4,100,26.0,7.000000000000001
16,1,100,33.0,11.0
16,2,100,18.0,9.0
16,3,100,12.0,4.0
16,4,100,20.0,7.000000000000001
17,1,100,37.0,12.0
17,2,100,24.0,8.0
17,3,100,24.0,5.0
18,1,100,30.0,4.0
18,2,100,16.0,6.0
18,3,100,15.0,8.0
19,1,100,42.0,7.000000000000001
19,2,100,13.0,3.0
20,1,100,42.0,14.000000000000002
20,2,100,7.000000000000001,0.0
21,1,100,48.0,8.0
12,1,100,33.0,3.0
12,2,100,20.0,10.0
12,3,100,22.0,4.0
12,4,100,21.0,3.0
12,5,100,28.000000000000004,8.0
12,6,100,22.0,3.0
13,1,100,28.000000000000004,7.000000000000001
13,2,100,27.0,6.0
13,3,100,17.0,5.0
13,4,100,28.000000000000004,7.000000000000001
13,5,100,16.0,6.0
14,1,100,38.0,4.0
14,2,100,15.0,3.0
14,3,100,24.0,4.0
14,4,100,21.0,4.0
14,5,100,18.0,6.0
15,1,100,27.0,6.0
15,2,100,25.0,6.0
15,3,100,23.0,7.000000000000001
15,4,100,21.0,6.0
16,1,100,28.000000000000004,9.0
16,2,100,23.0,9.0
16,3,100,23.0,5.0
16,4,100,19.0,8.0
17,1,100,28.000000000000004,11.0
17,2,100,14.000000000000002,9.0
17,3,100,11.0,3.0
18,1,100,39.0,6.0
18,2,100,20.0,2.0
18,3,100,13.0,9.0
19,1,100,43.0,5.0
19,2,100,12.0,4.0
20,1,100,37.0,18.0
20,2,100,0.0,3.0
21,1,100,48.0,8.0
12,1,100,43.0,13.0
12,2,100,28.999999999999996,7.000000000000001
12,3,100,27.0,2.0
12,4,100,28.999999999999996,6.0
12,5,100,31.0,7.000000000000001
12,6,100,26.0,5.0
13,1,100,34.0,6.0
13,2,100,18.0,6.0
13,3,100,32.0,5.0
13,4,100,23.0,3.0
13,5,100,22.0,6.0
14,1,100,42.0,5.0
14,2,100,20.0,11.0
14,3,100,22.0,11.0
14,4,100,26.0,4.0
14,5,100,22.0,10.0
15,1,100,37.0,8.0
15,2,100,21.0,6.0
15,3,100,22.0,12.0
15,4,100,21.0,9.0
16,1,100,27.0,5.0
16,2,100,18.0,8.0
16,3,100,21.0,6.0
16,4,100,22.0,4.0
17,1,100,31.0,11.0
17,2,100,13.0,3.0
17,3,100,16.0,10.0
18,1,100,33.0,9.0
18,2,100,18.0,5.0
18,3,100,14.000000000000002,8.0
19,1,100,44.0,6.0
19,2,100,15.0,1.0
20,1,100,38.0,14.000000000000002
20,2,100,4.0,1.0
21,1,100,44.0,6.0
12,1,100,28.999999999999996,5.0
12,2,100,27.0,4.0
12,3,100,21.0,9.0
12,4,100,28.999999999999996,9.0
12,5,100,12.0,9.0
12,6,100,30.0,4.0
13,1,100,27.0,3.0
13,2,100,23.0,7.000000000000001
13,3,100,18.0,7.000000000000001
13,4,100,23.0,5.0
13,5,100,17.0,6.0
14,1,100,44.0,3.0
14,2,100,21.0,7.000000000000001
14,3,100,17.0,6.0
14,4,100,22.0,6.0
14,5,100,21.0,6.0
15,1,100,31.0,5.0
15,2,100,17.0,5.0
15,3,100,19.0,4.0
15,4,100,25.0,4.0
16,1,100,27.0,5.0
16,2,100,19.0,9.0
16,3,100,22.0,7.000000000000001
16,4,100,31.0,3.0
17,1,100,28.000000000000004,7.000000000000001
17,2,100,13.0,2.0
17,3,100,21.0,3.0
18,1,100,34.0,6.0
18,2,100,17.0,6.0
18,3,100,19.0,6.0
19,1,100,32.0,12.0
19,2,100,7.000000000000001,2.0
20,1,100,33.0,14.000000000000002
20,2,100,6.0,1.0
21,1,100,55.00000000000001,8.0
12,1,100,40.0,5.0
12,2,100,38.0,6.0
12,3,100,23.0,7.000000000000001
12,4,100,25.0,2.0
12,5,100,26.0,6.0
12,6,100,22.0,6.0
13,1,100,32.0,6.0
13,2,100,19.0,5.0
13,3,100,25.0,5.0
13,4,100,19.0,2.0
13,5,100,35.0,6.0
14,1,100,35.0,6.0
14,2,100,13.0,5.0
14,3,100,23.0,4.0
14,4,100,22.0,8.0
14,5,100,20.0,5.0
15,1,100,34.0,7.000000000000001
15,2,100,24.0,8.0
15,3,100,18.0,7.000000000000001
15,4,100,25.0,4.0
16,1,100,34.0,3.0
16,2,100,20.0,8.0
16,3,100,23.0,5.0
16,4,100,24.0,8.0
17,1,100,25.0,16.0
17,2,100,23.0,3.0
17,3,100,15.0,6.0
18,1,100,30.0,10.0
18,2,100,24.0,4.0
18,3,100,20.0,5.0
19,1,100,41.0,5.0
19,2,100,10.0,5.0
20,1,100,41.0,9.0
20,2,100,8.0,0.0
21,1,100,48.0,2.0
12,1,100,28.000000000000004,7.000000000000001
12,2,100,22.0,7.000000000000001
12,3,100,21.0,9.0
12,4,100,33.0,8.0
12,5,100,23.0,5.0
12,6,100,34.0,4.0
13,1,100,32.0,3.0
13,2,100,22.0,14.000000000000002
13,3,100,21.0,7.000000000000001
13,4,100,26.0,3.0
13,5,100,22.0,5.0
14,1,100,35.0,6.0
14,2,100,25.0,6.0
14,3,100,18.0,8.0
14,4,100,24.0,6.0
14,5,100,27.0,6.0
15,1,100,35.0,6.0
15,2,100,26.0,9.0
15,3,100,22.0,9.0
15,4,100,20.0,3.0
16,1,100,34.0,5.0
16,2,100,26.0,5.0
16,3,100,19.0,6.0
16,4,100,20.0,10.0
17,1,100,35.0,11.0
17,2,100,16.0,5.0
17,3,100,12.0,6.0
18,1,100,28.999999999999996,13.0
18,2,100,16.0,4.0
18,3,100,16.0,4.0
19,1,100,36.0,10.0
19,2,100,8.0,6.0
20,1,100,32.0,11.0
20,2,100,7.000000000000001,0.0
21,1,100,49.0,5.0
12,1,100,28.999999999999996,10.0
12,2,100,26.0,6.0
12,3,100,24.0,2.0
12,4,100,20.0,7.000000000000001
12,5,100,22.0,5.0
12,6,100,23.0,6.0
13,1,100,34.0,6.0
13,2,100,23.0,6.0
13,3,100,28.000000000000004,3.0
13,4,100,18.0,7.000000000000001
13,5,100,26.0,7.000000000000001
14,1,100,34.0,7.000000000000001
14,2,100,22.0,8.0
14,3,100,20.0,10.0
14,4,100,22.0,10.0
14,5,100,21.0,8.0
15,1,100,30.0,3.0
15,2,100,12.0,7.000000000000001
15,3,100,27.0,6.0
15,4,100,25.0,8.0
16,1,100,27.0,7.000000000000001
16,2,100,18.0,5.0
16,3,100,18.0,9.0
16,4,100,20.0,7.000000000000001
17,1,100,41.0,6.0
17,2,100,13.0,6.0
17,3,100,18.0,2.0
18,1,100,31.0,10.0
18,2,100,15.0,5.0
18,3,100,12.0,5.0
19,1,100,40.0,7.000000000000001
19,2,100,15.0,7.000000000000001
20,1,100,36.0,9.0
20,2,100,10.0,0.0
21,1,100,59.0,8.0
12,1,100,40.0,3.0
12,2,100,26.0,3.0
12,3,100,21.0,4.0
12,4,100,19.0,3.0
12,5,100,20.0,12.0
12,6,100,26.0,0.0
13,1,100,33.0,10.0
13,2,100,20.0,12.0
13,3,100,22.0,6.0
13,4,100,28.999999999999996,5.0
13,5,100,21.0,8.0
14,1,100,33.0,8.0
14,2,100,18.0,7.000000000000001
14,3,100,18.0,4.0
14,4,100,23.0,2.0
14,5,100,15.0,8.0
15,1,100,30.0,3.0
15,2,100,22.0,8.0
15,3,100,17.0,4.0
15,4,100,19.0,7.000000000000001
16,1,100,35.0,5.0
16,2,100,22.0,5.0
16,3,100,20.0,5.0
16,4,100,17.0,5.0
17,1,100,28.999999999999996,15.0
17,2,100,22.0,8.0
17,3,100,22.0,5.0
18,1,100,39.0,5.0
18,2,100,26.0,5.0
18,3,100,10.0,5.0
19,1,100,40.0,8.0
19,2,100,13.0,2.0
20,1,100,48.0,16.0
20,2,100,7.000000000000001,1.0
21,1,100,47.0,12.0
12,1,100,34.0,8.0
12,2,100,28.999999999999996,7.000000000000001
12,3,100,28.000000000000004,12.0
12,4,100,19.0,5.0
12,5,100,30.0,7.000000000000001
12,6,100,19.0,5.0
13,1,100,38.0,5.0
13,2,100,23.0,7.000000000000001
13,3,100,21.0,6.0
13,4,100,16.0,7.000000000000001
13,5,100,27.0,6.0
14,1,100,37.0,4.0
14,2,100,18.0,11.0
14,3,100,20.0,5.0
14,4,100,18.0,2.0
14,5,100,14.000000000000002,3.0
15,1,100,31.0,2.0
15,2,100,18.0,7.000000000000001
15,3,100,24.0,5.0
15,4,100,19.0,4.0
16,1,100,35.0,7.000000000000001
16,2,100,18.0,6.0
16,3,100,17.0,12.0
16,4,100,22.0,5.0
17,1,100,28.000000000000004,7.000000000000001
17,2,100,15.0,8.0
17,3,100,15.0,9.0
18,1,100,42.0,9.0
18,2,100,16.0,3.0
18,3,100,15.0,1.0
19,1,100,33.0,7.000000000000001
19,2,100,11.0,7.000000000000001
20,1,100,46.0,13.0
20,2,100,9.0,0.0
21,1,100,54.0,11.0
12,1,100,31.0,10.0
12,2,100,26.0,5.0
12,3,100,25.0,5.0
12,4,100,26.0,3.0
12,5,100,26.0,3.0
12,6,100,27.0,8.0
13,1,100,38.0,6.0
13,2,100,28.000000000000004,7.000000000000001
13,3,100,23.0,9.0
13,4,100,23.0,6.0
13,5,100,26.0,5.0
14,1,100,38.0,1.0
14,2,100,12.0,10.0
14,3,100,22.0,6.0
14,4,100,13.0,3.0
14,5,100,17.0,8.0
15,1,100,28.999999999999996,5.0
15,2,100,19.0,8.0
15,3,100,24.0,5.0
15,4,100,16.0,9.0
16,1,100,35.0,7.000000000000001
16,2,100,18.0,9.0
16,3,100,22.0,4.0
16,4,100,19.0,8.0
17,1,100,31.0,14.000000000000002
17,2,100,20.0,5.0
17,3,100,18.0,4.0
18,1,100,32.0,6.0
18,2,100,21.0,3.0
18,3,100,19.0,4.0
19,1,100,44.0,8.0
19,2,100,13.0,3.0
20,1,100,42.0,11.0
20,2,100,6.0,1.0
21,1,100,34.0,10.0
12,1,100,36.0,2.0
12,2,100,23.0,10.0
12,3,100,22.0,8.0
12,4,100,23.0,6.0
12,5,100,28.999999999999996,7.000000000000001
12,6,100,27.0,8.0
13,1,100,33.0,7.000000000000001
13,2,100,27.0,7.000000000000001
13,3,100,28.000000000000004,8.0
13,4,100,21.0,6.0
13,5,100,28.999999999999996,5.0
14,1,100,30.0,8.0
14,2,100,25.0,3.0
14,3,100,23.0,5.0
14,4,100,23.0,2.0
14,5,100,11.0,8.0
15,1,100,38.0,4.0
15,2,100,17.0,3.0
15,3,100,19.0,4.0
15,4,100,25.0,3.0
16,1,100,39.0,7.000000000000001
16,2,100,27.0,5.0
16,3,100,24.0,4.0
16,4,100,16.0,8.0
17,1,100,37.0,11.0
17,2,100,20.0,7.000000000000001
17,3,100,19.0,5.0
18,1,100,36.0,7.000000000000001
18,2,100,15.0,6.0
18,3,100,14.000000000000002,2.0
19,1,100,36.0,5.0
19,2,100,14.000000000000002,3.0
20,1,100,41.0,13.0
20,2,100,7.000000000000001,2.0
21,1,100,47.0,8.0
12,1,100,45.0,1.0
12,2,100,26.0,7.000000000000001
12,3,100,28.999999999999996,6.0
12,4,100,26.0,4.0
12,5,100,21.0,5.0
12,6,100,21.0,7.000000000000001
13,1,100,27.0,11.0
13,2,100,19.0,8.0
13,3,100,21.0,9.0
13,4,100,25.0,7.000000000000001
13,5,100,22.0,7.000000000000001
14,1,100,25.0,6.0
14,2,100,20.0,10.0
14,3,100,26.0,8.0
14,4,100,26.0,5.0
14,5,100,15.0,3.0
15,1,100,28.000000000000004,13.0
15,2,100,20.0,6.0
15,3,100,28.000000000000004,6.0
15,4,100,14.000000000000002,6.0
16,1,100,31.0,2.0
16,2,100,23.0,8.0
16,3,100,19.0,5.0
16,4,100,25.0,4.0
17,1,100,32.0,6.0
17,2,100,16.0,11.0
17,3,100,12.0,5.0
18,1,100,33.0,12.0
18,2,100,17.0,6.0
18,3,100,15.0,6.0
19,1,100,34.0,13.0
19,2,100,10.0,0.0
20,1,100,43.0,9.0
20,2,100,9.0,0.0
21,1,100,37.0,9.0
12,1,100,42.0,5.0
12,2,100,24.0,8.0
12,3,100,23.0,6.0
12,4,100,26.0,6.0
12,5,100,24.0,5.0
12,6,100,19.0,4.0
13,1,100,35.0,5.0
13,2,100,22.0,9.0
13,3,100,28.000000000000004,8.0
13,4,100,26.0,10.0
13,5,100,15.0,6.0
14,1,100,27.0,3.0
14,2,100,22.0,5.0
14,3,100,21.0,9.0
14,4,100,24.0,7.000000000000001
14,5,100,11.0,8.0
15,1,100,25.0,7.000000000000001
15,2,100,24.0,11.0
15,3,100,24.0,3.0
15,4,100,16.0,5.0
16,1,100,32.0,6.0
16,2,100,21.0,6.0
16,3,100,18.0,8.0
16,4,100,16.0,3.0
17,1,100,32.0,15.0
17,2,100,19.0,3.0
17,3,100,20.0,3.0
18,1,100,31.0,8.0
18,2,100,16.0,3.0
18,3,100,19.0,5.0
19,1,100,40.0,7.000000000000001
19,2,100,17.0,3.0
20,1,100,36.0,19.0
20,2,100,6.0,1.0
21,1,100,60.0,9.0
12,1,100,28.999999999999996,11.0
12,2,100,24.0,10.0
12,3,100,24.0,6.0
12,4,100,27.0,3.0
12,5,100,24.0,7.000000000000001
12,6,100,27.0,7.000000000000001
13,1,100,34.0,6.0
13,2,100,23.0,9.0
13,3,100,22.0,7.000000000000001
13,4,100,22.0,1.0
13,5,100,16.0,3.0
14,1,100,30.0,5.0
14,2,100,15.0,6.0
14,3,100,19.0,9.0
14,4,100,21.0,3.0
14,5,100,16.0,6.0
15,1,100,26.0,6.0
15,2,100,17.0,9.0
15,3,100,21.0,5.0
15,4,100,26.0,2.0
16,1,100,32.0,5.0
16,2,100,10.0,12.0
16,3,100,16.0,9.0
16,4,100,28.999999999999996,8.0
17,1,100,33.0,5.0
17,2,100,21.0,7.000000000000001
17,3,100,18.0,6.0
18,1,100,35.0,6.0
18,2,100,21.0,4.0
18,3,100,21.0,5.0
19,1,100,41.0,8.0
19,2,100,20.0,3.0
20,1,100,48.0,14.000000000000002
20,2,100,6.0,1.0
21,1,100,47.0,8.0
12,1,100,34.0,6.0
12,2,100,23.0,3.0
12,3,100,20.0,7.000000000000001
12,4,100,24.0,4.0
12,5,100,25.0,4.0
12,6,100,21.0,6.0
13,1,100,28.999999999999996,7.000000000000001
13,2,100,22.0,1.0
13,3,100,33.0,3.0
13,4,100,27.0,7.000000000000001
13,5,100,23.0,8.0
14,1,100,28.000000000000004,4.0
14,2,100,14.000000000000002,7.000000000000001
14,3,100,26.0,5.0
14,4,100,21.0,8.0
14,5,100,11.0,10.0
15,1,100,26.0,5.0
15,2,100,10.0,8.0
15,3,100,17.0,4.0
15,4,100,24.0,5.0
16,1,100,28.000000000000004,5.0
16,2,100,18.0,8.0
16,3,100,25.0,4.0
16,4,100,17.0,10.0
17,1,100,36.0,14.000000000000002
17,2,100,10.0,6.0
17,3,100,17.0,1.0
18,1,100,31.0,9.0
18,2,100,13.0,2.0
18,3,100,17.0,2.0
19,1,100,40.0,9.0
19,2,100,14.000000000000002,4.0
20,1,100,36.0,11.0
20,2,100,8.0,1.0
21,1,100,45.0,7.000000000000001
12,1,100,32.0,7.000000000000001
12,2,100,32.0,8.0
12,3,100,27.0,5.0
12,4,100,33.0,2.0
12,5,100,16.0,9.0
12,6,100,19.0,10.0
13,1,100,33.0,8.0
13,2,100,28.999999999999996,8.0
13,3,100,31.0,4.0
13,4,100,22.0,4.0
13,5,100,25.0,5.0
14,1,100,31.0,4.0
14,2,100,28.999999999999996,5.0
14,3,100,24.0,9.0
14,4,100,20.0,6.0
14,5,100,16.0,7.000000000000001
15,1,100,30.0,4.0
15,2,100,30.0,7.000000000000001
15,3,100,17.0,8.0
15,4,100,15.0,7.000000000000001
16,1,100,26.0,10.0
16,2,100,17.0,8.0
